nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,titleCount
nm0005392,Keri Russell,1976,\N,"actress,soundtrack","tt0473308,tt2387433,tt2103281,tt0317919",4
nm0005393,Kelly Rutherford,1968,\N,"actress,soundtrack,producer","tt0103491,tt0460084,tt0247097,tt0105932",4
nm0005394,Jeri Ryan,1968,\N,"actress,soundtrack","tt1672087,tt0309530,tt0112178,tt0219653",4
nm0005398,Michael Saucedo,1970,\N,actor,"tt0078650,tt0181865,tt0321021,tt0056758",4
nm0005399,Ben Savage,1980,\N,"actor,producer,director","tt0105958,tt0097758,tt0106175,tt2543796",4
nm0005401,Ricky Schroder,1970,\N,"actor,producer,director","tt0363475,tt0078950,tt0080671,tt0106079",4
nm0005402,Travis Schuldt,1974,\N,"actor,producer","tt3181822,tt1769363,tt0192917,tt0455960",4
nm0005403,Jason Schwartzman,1980,\N,"soundtrack,actor,music_department","tt0128445,tt1748122,tt0838221,tt2140373",4
nm0005404,Rusty Schwimmer,1962,\N,"actress,soundtrack","tt1082807,tt0395972,tt0177971,tt0113670",4
nm0005405,Seann William Scott,1976,\N,"actor,producer,writer","tt0252866,tt0163651,tt0377818,tt0328828",4
nm0005406,William Lee Scott,1973,\N,actor,"tt0289879,tt0132477,tt0187078,tt0309698",4
nm0005407,Jon Secada,1961,\N,"soundtrack,actor,composer","tt0111255,tt0114148,tt0323572,tt0482463",4
nm0005409,Suzanne Sena,1963,\N,"actress,producer","tt2461262,tt1219024,tt1717499,tt0044265",4
nm0005411,Rita Sever,1963,\N,actress,"tt4765610,tt1615858,tt1225901,tt1666566",4
nm0005413,Shanice,1973,\N,"music_department,actress,soundtrack","tt0114148,tt0102789,tt0107563,tt0278372",4
nm0005414,Robert Shapiro,\N,\N,"producer,director,actor","tt0361467,tt0089791,tt0092965,tt0112895",4
nm0005415,China Shavers,1977,\N,"actress,producer","tt1532503,tt0221218,tt1839492,tt0277371",4
nm0005416,Vinessa Shaw,1976,\N,"actress,director","tt0120663,tt0107120,tt0454841,tt0381849",4
nm0005420,Marley Shelton,1974,\N,actress,"tt0258470,tt1077258,tt0151738,tt1028528",4
nm0005423,Vonda Shepard,1963,\N,"actress,music_department,soundtrack","tt0118254,tt0069658,tt0758752,tt7424200",4
nm0005424,Grant Show,1962,\N,"actor,producer,soundtrack","tt6128300,tt0072559,tt0431021,tt0103491",4
nm0005429,Victoria Silvstedt,1974,\N,"actress,producer","tt0253798,tt0285462,tt1465487,tt0131857",4
nm0005431,Henry Simmons,1970,\N,"actor,producer","tt0106079,tt0316732,tt2011159,tt2364582",4
nm0005433,Jessica Simpson,1980,\N,"actress,soundtrack,producer","tt0811138,tt0380934,tt0424993,tt0377818",4
nm0005437,Sisqó,1978,\N,"actor,soundtrack,composer","tt0120812,tt0144528,tt0281373,tt0192071",4
nm0005438,Jeremy Sisto,1974,\N,"actor,producer,writer","tt0473308,tt0295700,tt0112697,tt0303361",4
nm0005439,Azura Skye,1981,\N,actress,"tt0191754,tt0219965,tt0313043,tt0479968",4
nm0005440,Kelly Slater,1972,\N,"actor,producer,miscellaneous","tt0423294,tt0203755,tt0245891,tt0096542",4
nm0005441,Lindsay Sloane,1977,\N,"actress,soundtrack","tt0815236,tt1386588,tt0204946,tt0314786",4
nm0005442,Amy Smart,1976,\N,"actress,producer,soundtrack","tt0433400,tt0479884,tt0250687,tt0165832",4
nm0005444,Keely Shaye Brosnan,1963,\N,"actress,director,producer","tt0100300,tt0056758,tt8084776,tt0458443",4
nm0005445,Kerr Smith,1972,\N,"actor,director","tt0195714,tt1179891,tt0118300,tt1442109",4
nm0005447,Leelee Sobieski,1983,\N,"actress,producer","tt0151738,tt0206314,tt0411061,tt0460780",4
nm0005448,Marla Sokoloff,1980,\N,"actress,director,writer","tt0118437,tt0202402,tt0242423,tt0186589",4
nm0005449,José Solano,1971,\N,"actor,production_manager","tt0373569,tt0249313,tt0096542,tt0495921",4
nm0005450,David Spade,1964,\N,"actor,writer,producer","tt0245686,tt0437863,tt0114694,tt0120917",4
nm0005451,Dana Sparks,1961,\N,actress,"tt0192917,tt0092455,tt0069658,tt0112022",4
nm0005452,Hal Sparks,1969,\N,"actor,director,writer","tt0242423,tt1225822,tt0316654,tt0262985",4
nm0005453,Britney Spears,1981,\N,"soundtrack,music_department,actress","tt5349468,tt0295178,tt0275022,tt2089654",4
nm0005454,Scott Speedman,1975,\N,"actor,soundtrack","tt0320691,tt0482606,tt0401855,tt0329774",4
nm0005456,Randy Spelling,1978,\N,"actor,producer","tt0118484,tt0417056,tt0447999,tt0362511",4
nm0005457,Dina Spybey-Waters,1965,\N,"actress,producer,soundtrack","tt0251160,tt0425123,tt0338094,tt0322330",4
nm0005458,Jason Statham,1967,\N,"actor,producer,stunts","tt0479884,tt4779682,tt2820852,tt3079380",4
nm0005459,Liz Stauber,1979,\N,actress,"tt0283139,tt0181875,tt0120188,tt0368447",4
nm0005461,Gwen Stefani,1969,\N,"soundtrack,actress,writer","tt0196229,tt1679335,tt1291150,tt0338751",4
nm0005462,Leslie Stefanson,1971,\N,actress,"tt0269347,tt0119822,tt0144214,tt0217869",4
nm0005463,Heather Stephens,1975,\N,actress,"tt0120519,tt0246989,tt0116922,tt0118928",4
nm0005466,Julia Stiles,1981,\N,"actress,producer,director","tt0337697,tt0147800,tt1045658,tt0206275",4
nm0005472,Kimberly Stewart,1979,\N,"actress,producer","tt1890455,tt0273028,tt1618376,tt0112112",4
nm0005474,Nicole Sullivan,1970,\N,"actress,writer,producer","tt1190536,tt0426592,tt0396555,tt0974661",4
nm0005475,David Sutcliffe,1969,\N,"actor,soundtrack,director","tt0238784,tt3595806,tt0361693,tt2078576",4
